@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
3960,'2019/09/24 11:29:42:639',44,557.278809,385.610809,23.06179,608.140381,398.637512,33.013519,654.874146,405.950592,34.013382,698.417847,406.444,31.722315,730.207214,402.855347,26.959093,1
3961,'2019/09/24 11:29:42:688',44,554.461853,384.791718,24.383942,604.156067,398.343994,34.213905,650.780762,405.971985,35.007885,693.487793,406.534424,32.499878,725.208252,402.348785,27.767426,1
3962,'2019/09/24 11:29:42:740',44,546.754883,382.68808,26.383663,595.406677,395.01355,36.050968,642.222961,402.674713,36.759026,686.688232,401.484741,34.485703,715.967285,400.094482,29.306543,1
3963,'2019/09/24 11:29:42:788',44,550.439392,386.84787,30.461739,577.227539,408.980835,38.970211,624.273376,417.025848,39.581249,671.167236,413.136414,37.902966,701.873779,409.006744,32.687138,1
3964,'2019/09/24 11:29:42:840',44,544.090393,383.034546,31.062529,571.157227,400.019012,39.852596,618.421631,407.81131,40.771416,665.048584,404.876831,38.997375,696.827515,402.937195,33.788765,1
3965,'2019/09/24 11:29:42:889',44,531.820129,377.362762,32.897606,560.481934,389.478699,41.759712,607.29895,397.770905,43.012836,655.257324,395.216766,41.500862,687.01001,396.407898,36.252693,1
3966,'2019/09/24 11:29:42:940',44,524.813721,377.011414,34.70089,554.069763,388.145203,43.584564,601.122925,396.200226,45.021225,648.849304,393.427002,43.625233,682.491455,394.067078,38.567875,1
3967,'2019/09/24 11:29:42:988',44,516.146667,380.666138,37.683987,548.779053,395.580322,46.878784,596.940918,402.333679,48.311325,643.346558,397.198853,47.167492,679.954346,394.782013,42.265053,1
3968,'2019/09/24 11:29:43:040',44,512.166077,376.387848,38.453743,550.473694,392.169312,48.751831,599.532227,397.323975,50.007797,643.634766,391.727722,48.516506,679.968811,389.465027,43.437717,1
3969,'2019/09/24 11:29:43:089',44,507.422485,374.358551,40.946609,549.556152,392.498901,51.09557,598.365845,395.927551,52.347626,641.947632,389.0177,50.839512,677.502563,385.845764,45.621658,1
3970,'2019/09/24 11:29:43:140',44,505.648743,369.632141,41.761532,543.093262,388.359741,51.930683,590.414917,393.011658,53.392776,636.933533,385.74469,52.351269,672.121216,385.525238,46.987488,1
3971,'2019/09/24 11:29:43:191',44,504.900024,367.310181,43.689445,541.502319,386.921173,53.527283,588.467285,391.630341,55.121704,636.65033,383.074097,54.444038,670.379333,384.135193,48.897652,1
3972,'2019/09/24 11:29:43:243',44,506.572052,366.174103,44.911266,543.45343,384.666779,54.823475,590.00116,391.263397,56.169777,637.486755,381.777496,55.742943,675.751587,379.968536,50.543617,1
3973,'2019/09/24 11:29:43:290',44,510.545105,363.330872,46.33223,546.790283,381.568451,56.245007,592.963074,389.17395,57.515209,640.32312,380.336334,57.088535,680.448914,378.205322,51.983727,1
3974,'2019/09/24 11:29:43:340',44,516.169556,362.25946,47.762177,553.460083,378.904785,57.717922,602.820557,383.641205,59.419765,644.261414,381.008667,57.876385,683.622559,378.009583,52.927601,1
3975,'2019/09/24 11:29:43:391',44,518.216736,362.357239,48.933895,552.316895,379.113525,59.171974,601.143311,386.01062,60.77216,642.203247,383.186584,59.260857,682.069885,380.805634,54.41964,1
3976,'2019/09/24 11:29:43:440',44,522.370056,360.606201,49.755882,556.255127,376.357635,60.188183,600.831909,387.951263,60.849766,647.234863,379.615631,60.397991,684.435303,380.591064,55.119293,1
3977,'2019/09/24 11:29:43:490',44,529.193726,357.961792,51.138901,558.972839,374.143738,61.56638,593.759338,393.699341,60.134266,646.970032,374.757477,62.463428,690.185242,377.275482,57.122063,1
3978,'2019/09/24 11:29:43:539',44,535.461426,356.730408,52.525223,566.512085,370.335907,63.251957,587.126221,401.684052,58.23774,647.915527,367.75647,64.386368,699.556885,373.593536,58.853802,1
3979,'2019/09/24 11:29:43:591',44,545.530701,351.162872,53.999233,581.168701,362.050812,64.907913,595.947754,397.135712,59.352276,659.799072,360.314209,65.56617,713.724976,366.76123,59.89468,1
3980,'2019/09/24 11:29:43:642',44,553.23291,346.757324,55.170162,593.83667,353.953491,66.00856,608.461121,390.03656,60.96801,670.114624,354.305511,66.126694,724.072876,358.982483,60.456238,1
3981,'2019/09/24 11:29:43:691',44,556.206482,342.366272,56.740936,597.697144,348.950073,67.708557,616.963684,383.049866,63.641647,675.087402,346.267517,67.950325,728.528687,351.663269,62.188755,1
3982,'2019/09/24 11:29:43:742',44,565.889465,331.225037,59.750412,609.742065,342.510803,69.815796,644.262878,355.577881,69.996948,691.973267,330.440735,70.57132,747.2229,340.167725,64.320938,1
3983,'2019/09/24 11:29:43:792',44,568.777527,324.09137,61.046986,614.085022,334.272949,70.638222,653.14978,344.213013,71.440086,707.975586,318.236115,71.455338,762.66748,331.792542,64.842506,1
3984,'2019/09/24 11:29:43:842',44,566.113525,322.469299,60.305691,607.159363,331.15448,70.143539,650.220764,339.105103,71.452034,705.81488,315.746613,71.298851,758.002563,327.275452,64.961563,1
