@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
156,'2019/09/24 12:26:05:024',2,561.987793,324.562531,39.754429,597.258118,315.673981,54.120708,655.320129,313.809143,56.606785,701.329407,311.76358,53.956196,743.059326,316.690979,48.070225,1
157,'2019/09/24 12:26:05:072',2,560.324524,317.995117,43.799393,596.408752,309.050873,58.218555,653.891479,307.540527,60.628689,699.902832,305.680847,57.949787,741.420044,310.894104,52.054337,1
158,'2019/09/24 12:26:05:121',2,559.608826,313.85553,47.387867,597.452087,305.14444,61.81871,654.551941,303.362122,64.079399,700.274902,301.183289,61.304543,741.261353,306.138123,55.330711,1
159,'2019/09/24 12:26:05:173',2,557.332275,308.556213,50.824966,596.873169,300.667877,65.263702,653.802551,298.855927,67.401764,699.438904,296.778381,64.562477,739.831665,301.598816,58.513729,1
160,'2019/09/24 12:26:05:222',2,552.431091,302.855713,53.834278,593.151367,295.090424,68.28186,649.864624,293.605347,70.356827,695.614685,291.746582,67.489403,735.625671,296.884033,61.415779,1
161,'2019/09/24 12:26:05:273',2,546.385986,298.491394,56.760723,587.931824,290.975739,71.251602,644.276794,290.031006,73.293633,690.124878,288.483887,70.416702,729.966553,293.911133,64.347351,1
162,'2019/09/24 12:26:05:326',2,542.651245,295.700928,59.695335,585.245483,288.407806,74.21035,641.071289,287.849915,76.192276,686.936829,286.459839,73.300392,726.868042,291.891724,67.259506,1
163,'2019/09/24 12:26:05:372',2,542.613403,293.699646,62.910633,586.603149,286.674622,77.434006,642.173889,286.442993,79.354538,687.844971,284.787415,76.445244,727.616455,289.914825,70.374985,1
164,'2019/09/24 12:26:05:421',2,542.837463,292.039246,64.05423,588.336731,284.352081,78.570694,643.931641,283.906372,80.480698,689.261047,282.221191,77.545967,728.695496,287.407166,71.434021,1
165,'2019/09/24 12:26:05:479',2,543.195801,290.168213,64.512146,589.618591,282.271301,79.036972,644.958801,282.170654,80.899155,690.370483,280.575134,77.960419,729.77417,285.749146,71.845337,1
